ad_id,heading,location,timestamp,date,amount,lat,lon,canonical_url,image
173347028,Espresso kaffetrakter,Oslo,1711050300000,21.03.24,200,59.92415,10.77691,https://www.finn.no/bap/forsale/ad.html?finnkode=173347028,https://images.finncdn.no/dynamic/default/2020/3/vertical-0/19/8/173/347/028_1021619286.jpg
290432625,Utstyr til kaffemaskin - til espresso,Oslo,1710949020000,20.03.24,150,59.91336,10.85654,https://www.finn.no/bap/forsale/ad.html?finnkode=290432625,https://images.finncdn.no/dynamic/default/2023/2/vertical-0/06/5/290/432/625_749104408.jpg
344579911,espresso tamper 537mm,Oslo,1710694440000,17.03.24,199,59.87836,10.81322,https://www.finn.no/bap/forsale/ad.html?finnkode=344579911,https://images.finncdn.no/dynamic/default/2024/3/vertical-0/17/1/344/579/911_deefcdf2-325c-43ff-89b2-766172fd5c35.jpg
344113118,ECM 21g espresso filter nytt,Oslo,1710417960000,14.03.24,150,59.9427,10.7599,https://www.finn.no/bap/forsale/ad.html?finnkode=344113118,https://images.finncdn.no/dynamic/default/2024/3/vertical-0/14/8/344/113/118_46e4363d-2b1f-479f-9b36-a7a12a5945d4.jpg
308199218,Ikonisk design og veldig god espresso,Nesodden,1709591040000,04.03.24,11900,59.80939,10.68573,https://www.finn.no/bap/forsale/ad.html?finnkode=308199218,https://images.finncdn.no/dynamic/default/2023/6/vertical-0/22/8/308/199/218_1763079639.jpg
351132756,kaffemaskin,Ski,1714569613030,01.05.24,500,59.7197,10.8356,https://www.finn.no/bap/forsale/ad.html?finnkode=351132756,https://images.finncdn.no/dynamic/default/2024/5/vertical-0/01/6/351/132/756_6dd45937-6cba-4c01-8992-1e0806ab01ac.jpg
345602907,WACACO MINIPRESSO NS REISE-ESPRESSOMASKIN,Oslo,1711375500000,25.03.24,400,59.9259,10.76864,https://www.finn.no/bap/forsale/ad.html?finnkode=345602907,https://images.finncdn.no/dynamic/default/2024/3/vertical-0/25/7/345/602/907_43202b78-4ec0-4993-8460-49db68e14b75.jpg
350839373,kaffe maskin,Oslo,1714400847629,29.04.24,1000,59.91108,10.7723,https://www.finn.no/bap/forsale/ad.html?finnkode=350839373,https://images.finncdn.no/dynamic/default/2024/4/vertical-0/29/3/350/839/373_fd94d31b-e36a-46f7-b381-228280aaeacc.jpg
349459526,Baratza Encore kvern med oppgradert ESP burr,Oslo,1713624300000,20.04.24,1000,59.8724,10.81324,https://www.finn.no/bap/forsale/ad.html?finnkode=349459526,https://images.finncdn.no/dynamic/default/2024/4/vertical-0/20/6/349/459/526_188720e7-0aae-40ec-b01e-bb40a73b072a.jpg
351073459,Pent brukt Sylvia Rancilio espressomaskin og Rocky kaffekvern selges!,Oslo,1714555863599,01.05.24,7500,59.92692,10.74486,https://www.finn.no/bap/forsale/ad.html?finnkode=351073459,https://images.finncdn.no/dynamic/default/2024/5/vertical-0/01/9/351/073/459_7b86d173-315b-4d27-8ccb-6dbb1b0b1e7e.jpg
